county,subcounty
Kericho,Sigowet/Soin
Bomet,Sotik
Kisii,South Mugirango
Uasin Gishu,Soy
Nairobi,Starehe
Homa Bay,Suba
Nakuru,Subukia
Migori,Suna East
Migori,Suna West
Tana River,Tana Delta
Tana River,Tana North
Tana River,Tana River
Wajir,Tarbaj
Taita-Taveta,Taveta
Busia,Teso North
Busia,Teso South
Nyeri,Tetu
Tharaka-Nithi,Tharaka North
Tharaka-Nithi,Tharaka South
Kiambu,Thika East
Kiambu,Thika Town
Kiambu,Thika West
Baringo,Tiaty East
Baringo,Tiaty West
Meru,Tigania East
Meru,Tigania West
Nandi,Tinderet
Bungoma,Tongaren
Narok,Transmara East
Narok,Transmara West
Uasin Gishu,Turbo
Turkana,Turkana Central
Turkana,Turkana East
Turkana,Turkana North
Turkana,Turkana South
Siaya,Ugenya
Siaya,Ugunja
Migori,Uriri
Vihiga,Vihiga
Taita-Taveta,Voi
Wajir,Wajir East
Wajir,Wajir North
Wajir,Wajir South
Wajir,Wajir West
Bungoma,Webuye East
Bungoma,Webuye West
West Pokot,West Pokot
Nairobi,Westlands
Taita-Taveta,Wundanyi
Machakos,Yatta
