"County","Disease_Condition","Total_Number_Sick"
"Baringo","Anaplasmosis",4
"Baringo","Animal bites",2
"Baringo","Bees Sting",1
"Baringo","Black Quarter",2
"Baringo","Blue  Tongue",9
"Baringo","Blue Tongue ",268
"Baringo","Bluetongue ",3
"Baringo","Calf Scours ",2
"Baringo","Coccidosis",5
"Baringo","Contagious Caprine Pleuropneumonia (CCPP)",230
"Baringo","Damerthophylosis",1
"Baringo","East Coast Fever(ECF)",4
"Baringo","Enterotoxaemia",16
"Baringo","Foot and Mouth Disease (FMD)",338
"Baringo","Goat Pox",602
"Baringo","Heart Water",8
"Baringo","Helminthiasis",49
"Baringo","Johnes Disease",1
"Baringo","Lumpy Skin Disease (LSD)",57
"Baringo","Newcastle Disease (NCD)",30
"Baringo","Non",7
"Baringo","Peste des Petit Ruminants (PPR)",385
"Baringo","Pneumonia",63
"Baringo","Poisoning",1
"Baringo","Rabies",3
"Baringo","Sheep Pox",133
"Baringo","blue tongue",3
"Bomet","Abscess",1
"Bomet","Abscesses",1
"Bomet","Anaplasmosis",1
"Bomet","Animal bites",0
"Bomet","Anthrax",7
"Bomet","Black Quarter",2
"Bomet","Brucellosis",2
"Bomet","Coccidosis",4
"Bomet","East Coast Fever(ECF)",4
"Bomet","Fasciola",0
"Bomet","Fatty Degeneration",1
"Bomet","Fibrosis",1
"Bomet","Foot and Mouth Disease (FMD)",87
"Bomet","Helminthiasis",53
"Bomet","Hydited Cyst",0
"Bomet","Liver Cyrrhosis",1
"Bomet","Liver cyrrhosis",1
"Bomet","Lumpy Skin Disease (LSD)",11
"Bomet","Mange",4
"Bomet","Mastitis",1
"Bomet","Peste des Petit Ruminants (PPR)",7
"Bomet","Pneumonia",13
"Bomet","Poisoning",41
"Bomet","Rabies",8
"Bomet","Streptothricosis",1
"Bomet","Telangiectasis",1
"Bomet","Trypanosomiasis",0
"Bomet","ephemeral fever ",1
"Bungoma"," 0",3
"Bungoma"," Myasis",3
"Bungoma","00",1
"Bungoma","Acute Camel Disease Syndromes (ACDS)",4
"Bungoma","Anaplasmosis",24
"Bungoma","Animal bites",36
"Bungoma","Anthrax",1
"Bungoma","Black Quarter",4
"Bungoma","Brucellosis",9
"Bungoma","Coccidosis",22
"Bungoma","Coeneurosis",2
"Bungoma","Colic",1
"Bungoma","Dystocia",2
"Bungoma","East Coast Fever ",1
"Bungoma","East Coast Fever(ECF)",18
"Bungoma","Ehrlichiosis",3
"Bungoma","Enterotoxaemia",3
"Bungoma","Food Poison ",2
"Bungoma","Foot and Mouth Disease (FMD)",218
"Bungoma","Heart Water",4
"Bungoma","Helminthiasis",166
"Bungoma","Hyenas Bite ",3
"Bungoma","Infectious Bronchitis",6
"Bungoma","Infectious Bursai Disease (Gumboro)",1
"Bungoma","Ketosis",1
"Bungoma","Laminitis",1
"Bungoma","Lumpy Skin Disease (LSD)",16
"Bungoma","Mange",7
"Bungoma","Mastitis ",1
"Bungoma","Newcastle Disease (NCD)",2
"Bungoma","Orf",1
"Bungoma","Orf ",4
"Bungoma","Pneumonia",114
"Bungoma","Post Parturient Condition ",0
"Bungoma","Rabies",4
"Bungoma","Swine dysentery ",1
"Bungoma","Tetanus",1
"Bungoma","Trypanosomiasis",8
"Busia","Abdominal Hernia",1
"Busia","Abscess ",1
"Busia","African Swine Fever (ASF)",20
"Busia","Anaestrus ",1
"Busia","Anaplasmosis",49
"Busia","Animal bites",19
"Busia","Anthrax",0
"Busia","Atrophic rhinitis",1
"Busia","Babesiosis",2
"Busia","Black Quarter",8
"Busia","Bottle Jow",1
"Busia","Bovine Filariasis ",1
"Busia","Bovine Salmonellosis",1
"Busia","Brucellosis",22
"Busia","Calf Scours ",1
"Busia","Canine Distemper (CD)",5
"Busia","Cervical Prolapse In An Incalf Cow",1
"Busia","Clinical Mastitis",1
"Busia","Coccidosis",68
"Busia","Coeneurosis",1
"Busia","Cutaneous Myiasis",2
"Busia","Cutaneous Wounds(Fungal)",1
"Busia","Dermatophilosis",1
"Busia","Dermatophilosis ",1
"Busia","Dermatophytosis ",1
"Busia","Dietary Diarrhea ",1
"Busia","Dislocation ",1
"Busia","Downer Cow Syndrome",1
"Busia","Dystocia",1
"Busia","Dystocia ",2
"Busia","East Coast Fever(ECF)",50
"Busia","Enterotoxaemia",28
"Busia","Food Poisoming",11
"Busia","Foot Rot",2
"Busia","Foot and Mouth Disease (FMD)",12
"Busia","Fowl Pox",69
"Busia","Fowl Typhoid ",2
"Busia","Fowl Typoid",14
"Busia","Heart Water",10
"Busia","Helminthiasis",331
"Busia","Injury ",3
"Busia","Keratoconjutivitis",9
"Busia","Ketosis",2
"Busia","Ketosis/Enterotoxaemia",1
"Busia","Lameness ",3
"Busia","Leptospirosis ",1
"Busia","Lumpy Skin Disease (LSD)",203
"Busia","Mange",14
"Busia","Mastitis",2
"Busia","Mastitis ",2
"Busia","Menges",1
"Busia","Newcastle Disease (NCD)",55
"Busia","Non",12
"Busia","Paraphimosis",1
"Busia","Parvovirus",4
"Busia","Peste des Petit Ruminants (PPR)",1
"Busia","Pink Eye",3
"Busia","Pink Eye Disease ",1
"Busia","Pneumonia",22
"Busia","Poisoning",2
"Busia","Pustular Dermatitis",2
"Busia","Rabies",6
"Busia","Red Urine ",1
"Busia","Rift Valley Fever (RVF)",2
"Busia","Shipping Fever",1
"Busia","Stomach Enteritis",1
"Busia","Suspected Snake Bite",1
"Busia","Swine Erysipelas",69
"Busia","Trauma ",1
"Busia","Traumatic Deep Cut ",1
"Busia","Traumatic Injury ",1
"Busia","Trypanosomiasis",139
"Busia","Warble ",1
"Busia","ephemeral fever ",1
"Elgeyo/Marakwet","Abortion ",1
"Elgeyo/Marakwet","Absess",1
"Elgeyo/Marakwet","Anaplasmosis",12
"Elgeyo/Marakwet","Animal Bite",5
"Elgeyo/Marakwet","Animal bites",3
"Elgeyo/Marakwet","Babesia Bovis",1
"Elgeyo/Marakwet","Babesiosis ",1
"Elgeyo/Marakwet","Bloat",3
"Elgeyo/Marakwet","Blue Tongue ",1
"Elgeyo/Marakwet","Brucellosis",10
"Elgeyo/Marakwet","Cirrhosis",1
"Elgeyo/Marakwet","Coccidosis",1
"Elgeyo/Marakwet","Diarrhoea",3
"Elgeyo/Marakwet","Distocia",1
"Elgeyo/Marakwet","Dystochia",1
"Elgeyo/Marakwet","East Coast Fever(ECF)",84
"Elgeyo/Marakwet","Ephemeral Fever",1
"Elgeyo/Marakwet","Foetal Mumification",1
"Elgeyo/Marakwet","Foot and Mouth Disease (FMD)",12
"Elgeyo/Marakwet","Footrot",24
"Elgeyo/Marakwet","Fowl Pox",10
"Elgeyo/Marakwet","Goat Pox",2
"Elgeyo/Marakwet","Haemorrhagic septicemia",12
"Elgeyo/Marakwet","Heart Water",5
"Elgeyo/Marakwet","Helminthiasis",28
"Elgeyo/Marakwet","Johnes Disease",1
"Elgeyo/Marakwet","Mange Infestation ",3
"Elgeyo/Marakwet","Mastitis",2
"Elgeyo/Marakwet","Mastitis ",1
"Elgeyo/Marakwet","Mineral Salt Defficiency",1
"Elgeyo/Marakwet","No",2
"Elgeyo/Marakwet","Oestrus Ovis ",1
"Elgeyo/Marakwet","Peste des Petit Ruminants (PPR)",6
"Elgeyo/Marakwet","Plant Poison",1
"Elgeyo/Marakwet","Pneumonia",12
"Elgeyo/Marakwet","Poisoning",2
"Elgeyo/Marakwet","Rabies",10
"Elgeyo/Marakwet","Redwater",1
"Elgeyo/Marakwet","Retained",0
"Elgeyo/Marakwet","Retained  After Birth",0
"Elgeyo/Marakwet","Retained Placenta",1
"Elgeyo/Marakwet","Sheep Pox",6
"Elgeyo/Marakwet","TVT",1
"Elgeyo/Marakwet","Tetanus",0
"Embu","Anthrax",0
"Embu","Brucellosis",8
"Embu","Foot and Mouth Disease (FMD)",19
"Embu","Lumpy Skin Disease (LSD)",218
"Embu","Rabies",1
"Garissa"," Anaplasmosis ",42
"Garissa","Anaplasmosis",3
"Garissa","Animal bites",2
"Garissa","Anthrax",1
"Garissa","Arthritis ",3
"Garissa","Babesiosis ",0
"Garissa","Brucellosis",12
"Garissa","Contagious Bovine Pleuropneumonia (CBPP)",6
"Garissa","Contagious Caprine Pleuropneumonia (CCPP)",613
"Garissa","Contagious Ecthyma",38
"Garissa","Contagious Ecthyma ",24
"Garissa","East Coast Fever(ECF)",3
"Garissa","Foot and Mouth Disease (FMD)",237
"Garissa","Goat Pox",35
"Garissa","Helminthiasis",5
"Garissa","Infectious Bursai Disease (Gumboro)",12
"Garissa","Iron Defficiency",9
"Garissa","Lumpy Skin Disease (LSD)",8
"Garissa","Mange",15
"Garissa","Peste des Petit Ruminants (PPR)",261
"Garissa","Pneumonia",26
"Garissa","Sheep Pox",344
"Garissa","Trypanosomiasis",119
"Garissa","Wound ",1
"Homa Bay","Foot and Mouth Disease (FMD)",5
"Isiolo","Abscesses ",1
"Isiolo","Contagious Caprine Pleuropneumonia (CCPP)",25
"Isiolo","Disease Characterized By General Elongation Of Hooves Leading To Lameness",6
"Isiolo","Foot and Mouth Disease (FMD)",6
"Isiolo","Footrot",11
"Isiolo","Goat Pox",6
"Isiolo","Helminthiasis",7
"Isiolo","Menge",2
"Isiolo","Pneumonia",3
"Isiolo","Pneumonia ",6
"Kajiado","Anthrax",2
"Kajiado","Anthrax ",4
"Kajiado","Babesiosis ",1
"Kajiado","Black Quarter",2
"Kajiado","Brucellosis",25
"Kajiado","Contagious Bovine Pleuropneumonia (CBPP)",12
"Kajiado","Contagious Caprine Pleuropneumonia (CCPP)",107
"Kajiado","Ecf",7
"Kajiado","Foot and Mouth Disease (FMD)",87
"Kajiado","Goat Pox",4
"Kajiado","Heart Water",1
"Kajiado","Helminthiasis",8
"Kajiado","Leptospirosis",5
"Kajiado","Lumpy Skin Disease (LSD)",120
"Kajiado","Newcastle Disease (NCD)",6
"Kajiado","Orf",10
"Kajiado","Peste des Petit Ruminants (PPR)",216
"Kajiado","Pneumonia",5
"Kajiado","Rabies",3
"Kajiado","Rift Valley Fever (RVF)",10
"Kajiado","Sheep scab",3
"Kakamega","Abscess ",8
"Kakamega","Anaplasmosis",17
"Kakamega","Animal bites",5
"Kakamega","Anthrax",3
"Kakamega","Bee Stings ",4
"Kakamega","Black Quarter",14
"Kakamega","Brucellosis",46
"Kakamega","Caseous Lymphad ",3
"Kakamega","Cervical Prolapse",1
"Kakamega","Clinical Mastits",1
"Kakamega","Coccidosis",30
"Kakamega","Contagious Caprine Pleuropneumonia (CCPP)",40
"Kakamega","Dermatitis ",1
"Kakamega","Dermatomycosis",4
"Kakamega","Dermatophilosis ",1
"Kakamega","Dermatophylosis",4
"Kakamega","Diarrhoea ",2
"Kakamega","Dytocia",1
"Kakamega","East Coast Fever(ECF)",79
"Kakamega","Enterotoxaemia",7
"Kakamega","Foot And Rot",1
"Kakamega","Foot and Mouth Disease (FMD)",102
"Kakamega","Fowl Typhoid",5
"Kakamega","Goat Pox",52
"Kakamega","H.S",12
"Kakamega","Haemorrhagic septicemia",8
"Kakamega","Heart Water",1
"Kakamega","Helminthiasis",99
"Kakamega","Injury",1
"Kakamega","Johnes Disease",1
"Kakamega","Kennel cough",1
"Kakamega","Lumpy Skin Disease (LSD)",40
"Kakamega","Mange",5
"Kakamega","Mastitis",6
"Kakamega","Mastitis ",5
"Kakamega","Milk Fever",1
"Kakamega","Myocarditis ",0
"Kakamega","Parasite Infestation ",2
"Kakamega","Parvovirus",1
"Kakamega","Pink Eye ",7
"Kakamega","Pink Eye Infection ",1
"Kakamega","Pneumonia",24
"Kakamega","Poisoning",1
"Kakamega","Rabies",16
"Kakamega","Ringworms",1
"Kakamega","Salmonellosis ",2
"Kakamega","Salmonelosis",1
"Kakamega","Trypanosomiasis",15
"Kakamega","Vaginitis",1
"Kakamega","Warts",2
"Kakamega","injury ",1
"Kericho","Anaplasmosis",2
"Kericho","Anthrax",0
"Kericho","Black Quarter",0
"Kericho","Foot And Mouth ",25
"Kericho","Foot and Mouth Disease (FMD)",5
"Kericho","Lumpy Skin Disease (LSD)",3
"Kericho","Rabies",2
"Kiambu","Foot and Mouth Disease (FMD)",8
"Kiambu","Lumpy Skin Disease (LSD)",1
"Kilifi","East Coast Fever(ECF)",2
"Kilifi","Heart Water",1
"Kilifi","Helminthiasis",8
"Kilifi","Lumpy Skin Disease (LSD)",2
"Kilifi","Mange",1
"Kilifi","Newcastle Disease (NCD)",6
"Kilifi","Pneumonia",6
"Kilifi","Trypanosomiasis",3
"Kirinyaga","Anaplasmosis",1
"Kirinyaga","Helminthiasis",14
"Kisii","Anthrax",0
"Kisumu","Anaplasmosis",2
"Kisumu","Animal bites",4
"Kisumu","Anthrax",0
"Kisumu","Black Quarter",2
"Kisumu","East Coast Fever(ECF)",8
"Kisumu","Ehrlichiosis",2
"Kisumu","Helminthiasis",8
"Kisumu","Johnes Disease",1
"Kisumu","Lumpy Skin Disease (LSD)",1
"Kisumu","Metritis ",1
"Kisumu","Nsd",1
"Kisumu","Parvovirus",1
"Kisumu","Pneumonia",1
"Kisumu","Septic Wound",1
"Kisumu","Trypanosomiasis",5
"Kitui","Abscess",0
"Kitui","Anaplasmosis",5
"Kitui","Anaplasmosis ",2
"Kitui","Animal bites",4
"Kitui","Babesiosis ",1
"Kitui","Bovine Ephemeral Fever",3
"Kitui","Coccidosis",10
"Kitui","Contagious Caprine Pleuropneumonia (CCPP)",147
"Kitui","DHLP",0
"Kitui","East Coast Fever(ECF)",7
"Kitui","Ehrlichiosis",1
"Kitui","Enterotoxaemia",4
"Kitui","Foot and Mouth Disease (FMD)",30
"Kitui","Heart Water",6
"Kitui","Helminthiasis",344
"Kitui","Lumpy Skin Disease (LSD)",3
"Kitui","Mange",1
"Kitui","Myiasis",4
"Kitui","Newcastle Disease (NCD)",110
"Kitui","Peste des Petit Ruminants (PPR)",29
"Kitui","Pimply Guts ",1
"Kitui","Pneumonia",92
"Kitui","Sarcoid ",1
"Kitui","Tetanus",1
"Kitui","Tetanus ",1
"Kitui","Trypanosomiasis",8
"Kwale","Abscess ",1
"Kwale","Amoebiasis ",1
"Kwale","Anaplasmosis",48
"Kwale","Bacterial Infection",2
"Kwale","Black Quarter",1
"Kwale","Bloat",1
"Kwale","CRD",3
"Kwale","Canine Distemper (CD)",1
"Kwale","Coccidosis",108
"Kwale","Contagious Caprine Pleuropneumonia (CCPP)",557
"Kwale","Dermatitis ",1
"Kwale","Dermatophilosis",1
"Kwale","Diarrhea ",2
"Kwale","East Coast Fever(ECF)",30
"Kwale","Enterotoxaemia",11
"Kwale","Envenomation",1
"Kwale","Foot Rot",1
"Kwale","Foot and Mouth Disease (FMD)",33
"Kwale","Fowl Pox",60
"Kwale","Goat Pox",1
"Kwale","Heart Water",29
"Kwale","Helmenthesis ",1
"Kwale","Helminthiasis",280
"Kwale","Infectious Bronchitis",116
"Kwale","Injury ",1
"Kwale","Kennel cough",6
"Kwale","Leptospirosis",1
"Kwale","Lumpy Skin Disease (LSD)",12
"Kwale","Management ",5
"Kwale","Mange",14
"Kwale","Mange Mites",3
"Kwale","Manges",7
"Kwale","Mastitis",1
"Kwale","Mastitis ",1
"Kwale","Metal Cut Wound",1
"Kwale","Newcastle Disease (NCD)",128
"Kwale","No",3
"Kwale","Orf",3
"Kwale","Pneumonia",394
"Kwale","Pneumonia And Mange",16
"Kwale","Poisoning",5
"Kwale","Poisoning ",1
"Kwale","Rabies",3
"Kwale","Retained afterbirth ",3
"Kwale","Salmonellosis",2
"Kwale","Scepticaemia",1
"Kwale","Septicemia ",5
"Kwale","Sheep Pox",2
"Kwale","Ticks Infestation",3
"Kwale","Trypanosomiasis",197
"Kwale","Wound",1
"Kwale","pink eye ",1
"Kwale","wound",1
"Laikipia","Anaplasmosis",1
"Laikipia","Animal bites",2
"Laikipia","Brucellosis",10
"Laikipia","Coccidosis",221
"Laikipia","Contagious Caprine Pleuropneumonia (CCPP)",15
"Laikipia","East Coast Fever(ECF)",26
"Laikipia","Foot Rot",15
"Laikipia","Foot and Mouth Disease (FMD)",7
"Laikipia","Fowl Pox",46
"Laikipia","Helminthiasis",6
"Laikipia","Hemonchosis",200
"Laikipia","Infectious Bursai Disease (Gumboro)",50
"Laikipia","Lumpy Skin Disease (LSD)",14
"Laikipia","Peste des Petit Ruminants (PPR)",19
"Laikipia","Pneumonia",4
"Laikipia","Rabies",1
"Laikipia","Traumatic Reticulopericarditis",0
"Lamu","Animal bites",4
"Lamu","Choke",1
"Lamu","Contagious Bovine Pleuropneumonia (CBPP)",6
"Lamu","Contagious Caprine Pleuropneumonia (CCPP)",109
"Lamu","Enterotoxaemia",2
"Lamu","Foot Rot",1
"Lamu","Foot and Mouth Disease (FMD)",66
"Lamu","Fowl Pox",3
"Lamu","Helminthiasis",46
"Lamu","Lumpy Skin Disease (LSD)",13
"Lamu","Nil",0
"Lamu","Pink Eye ",2
"Lamu","Pneumonia",4
"Lamu","Rabies",1
"Lamu","Trypanosomiasis",5
"Lamu","Trypanosomiasis ",1
"Machakos","Foot and Mouth Disease (FMD)",1
"Machakos","Infectious Bronchitis",10
"Machakos","Lumpy Skin Disease (LSD)",1
"Machakos","Pneumonia ",1
"Machakos","Rabies",0
"Makueni"," 0",6
"Makueni"," Ephemeral Fever ",1
"Makueni","Abscess",1
"Makueni","Abscess ",1
"Makueni","Allergies ",1
"Makueni","Anaemia",1
"Makueni","Anaplasmosis",82
"Makueni","Anaplasmosis ",1
"Makueni","Animal bites",41
"Makueni","Arthritis ",1
"Makueni","Ascites ",1
"Makueni","Babesiosis ",8
"Makueni","Black Quarter",5
"Makueni","Bloat",1
"Makueni","Bluetongue ",1
"Makueni","Brucellosis",88
"Makueni","Calving",1
"Makueni","Canine Distemper (CD)",5
"Makueni","Clinical Mastitis ",1
"Makueni","Coccidosis",13
"Makueni","Collibacillosis",2
"Makueni","Congestion ",1
"Makueni","Conjunctivitis ",3
"Makueni","Contagious Bovine Pleuropneumonia (CBPP)",12
"Makueni","Contagious Caprine Pleuropneumonia (CCPP)",333
"Makueni","Contagious keratoconjunctivitis ",1
"Makueni","Diarrhea ",1
"Makueni","Dog Bite",1
"Makueni","Dystocia",2
"Makueni","East Coast Fever",1
"Makueni","East Coast Fever(ECF)",95
"Makueni","Eclampsia ",1
"Makueni","Enteritis ",2
"Makueni","Enterotoxaemia",6
"Makueni","Ephemeral ",0
"Makueni","Eye Infection ",1
"Makueni","Fascioliasis ",0
"Makueni","Food Poisoning ",1
"Makueni","Foot and Mouth Disease (FMD)",494
"Makueni","Footrot",1
"Makueni","Fowl Pox",3
"Makueni","Fracture ",1
"Makueni","Goat Pox",3
"Makueni","H.S",1
"Makueni","HS",1
"Makueni","Haemorrhagic Septicemia ",3
"Makueni","Haemorrhagic septicemia",1
"Makueni","Heamoligic Septicemia ",1
"Makueni","Heart Water",14
"Makueni","Heat Synchronization ",7
"Makueni","Helminthes",5
"Makueni","Helminthiasis",383
"Makueni","Hide Limb Fracture",0
"Makueni","Hoof Trimming ",1
"Makueni","Hydatid Cyst",1
"Makueni","Hydatidosis ",0
"Makueni","Hydatidosis, Helminthiasis ",0
