county,Sub_County,Ward,Latitude,Longitude,Locality,Start_Outbreak_Event,Report_Date,Disease_Condition,Nature_of_Diagnosis,Test_Used,Species_Affected,Number_at_Risk,Number_Sick,Number_Dead,Number_Slaughtered,Number_Destroyed,Production_System,Number_Humans_Affected_zoonosis,Disease_Control_Method,Number_Vaccinated,Organisation_GOK_Private,Source
Bomet,Bomet East,Longisa,-0.863881,35.3917041,Abattoir,1/15/2024,1/2/2024,Peste des Petit Ruminants (PPR),Clinical,,Goats,40,7,3,0,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Sololo,3.5639479,38.6449551,Village/Farm,12/8/2023,12/8/2023,Caseous Lymphad,Clinical,,Cattle,14,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Sololo,3.5639479,38.6449551,Village/Farm,12/10/2023,12/10/2023,Brucellosis,Clinical,,Goats,12,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.863881,35.3917041,Abattoir,1/15/2024,1/3/2024,Animal bites,Clinical,,Dogs,2,0,0,0,0,Mixed,0,[Vaccination],2,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9302667,35.4188316,Abattoir,1/15/2024,1/2/2024,Trypanosomiasis,Clinical,,Camel,32,0,4,0,0,Extensive,0,[No Action],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9302701,35.418832,Abattoir,1/19/2024,1/2/2024,Poisoning,Clinical,,Camel,200,40,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8614388,35.3912947,Abattoir,1/19/2024,1/2/2024,Pneumonia,Clinical,,Cattle,3,1,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8619257,35.3930027,Abattoir,1/20/2024,1/3/2024,Liver Cyrrhosis,Post Mortem,,Cattle,0,1,0,4,0,,0,Slaughter,0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8619257,35.3930027,Abattoir,1/20/2024,1/3/2024,Hydited Cyst,Post Mortem,,Cattle,0,0,0,5,0,Extensive,0,[No Action],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8656941,35.3942673,Abattoir,1/24/2024,1/2/2024,Brucellosis,Clinical,,Goats,8,2,0,0,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.530693,39041189,Abattoir,12/29/2023,12/29/2023,Helminthiasis,Post Mortem,,Cattle,0,0,0,7,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Butiye,3.4670918,38.9000835,Village/Farm,12/20/2023,12/20/2023,mastitis ,Clinical,,Goats,3,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5203554,39.04644898,Abattoir,12/30/2023,12/30/2023,Helminthiasis,Post Mortem,,Cattle,0,0,0,6,0,Extensive,0,[No Action],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9377961,35.4225551,Abattoir,1/24/2024,1/3/2024,Pneumonia,Clinical,,Cattle,1,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9303007,35.418832,Abattoir,1/26/2024,1/1/2024,Rabies,Clinical,,Dogs,3,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.863881,35.3917041,Abattoir,1/26/2024,1/3/2024,Mange,Clinical,,Cattle,1,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.863881,35.3917041,Abattoir,1/26/2024,1/1/2024,East Coast Fever(ECF),Clinical,,Cattle,34,1,0,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5282856,39.048444,Abattoir,12/27/2023,12/27/2023,Helminthiasis,Post Mortem,,Cattle,0,0,0,3,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Golbo,3.46282759,39.24023571,Village/Farm,11/22/2023,11/22/2023,Brucellosis,Clinical,,Goats,67,6,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9302969,35.4188332,Abattoir,1/26/2024,1/2/2024,Fasciola,Post Mortem,,Cattle,0,0,0,5,0,Extensive,0,[No Action],0,GOK,KABS
Bomet,Bomet Central,Mutarakwa,-0.7305225,35.3004925,Village/Farm,1/30/2024,1/1/2024,Helminthiasis,Post Mortem,,Cattle,0,0,0,7,0,Extensive,0,[No Action],0,GOK,KABS
Bomet,Bomet Central,Mutarakwa,-0.8276297,35.2400864,Village/Farm,1/31/2024,1/3/2024,Helminthiasis,Clinical,,Cattle,1,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.45418446,38.92760751,Village/Farm,12/27/2023,12/27/2023,Meningitis,Clinical,,Goats,25,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Moyale Township,3.5203554,39.04644898,Abattoir,12/22/2023,12/22/2023,Helminthiasis,Post Mortem,,Cattle,0,0,0,7,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Moyale,Butiye,3.51128,38.975645,Village/Farm,11/26/2023,11/26/2023,Animal bites,Clinical,,Goats,1,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.46282759,39.24023541,Village/Farm,11/24/2023,11/24/2023,Brucellosis,Clinical,,Goats,34,9,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9318881,35.4185341,Abattoir,1/30/2024,1/1/2024,Coccidosis,Post Mortem,,Chicken,90,4,6,0,0,Intensive,0,"[Treatment, Isolation]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.446285,39171518,Village/Farm,12/30/2023,12/30/2023,Brucellosis,Clinical,,Goats,24,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Chepalungu,Nyangores,,,Village/Farm,1/20/2024,1/2/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,15,1,0,0,0,Extensive,0,"[Vaccination, Treatment]",0,GOK,KABS
Bomet,Bomet East,Chemaner,-0.7878743,35.4622719,Village/Farm,1/6/2024,1/3/2024,Helminthiasis,Post Mortem,,Cattle,0,1,0,2,0,,0,Slaughter,0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/3/2024,East Coast Fever(ECF),Clinical,,Cattle,3,1,0,0,0,,0,"[Treatment, Vector Control]",0,GOK,KABS
Elgeyo/Marakwet,Keiyo South,Soy North,0.479997396,35.7592535,Village/Farm,12/27/2023,12/27/2023,Peste des Petit Ruminants (PPR),Clinical,,Goats,35,6,5,0,5,Extensive,0,[No Action],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/4/2024,Helminthiasis,Clinical,,Cattle,6,6,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Makueni,Kibwezi East,Masongaleni,-2.5182665,38.057029,Village/Farm,12/1/2023,12/1/2023,Contagious Caprine Pleuropneumonia (CCPP),Clinical,,Goats,15,5,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/2/2024,East Coast Fever(ECF),Clinical,,Cattle,3,1,0,0,0,Mixed,,[Vector Control],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/4/2024,1/3/2024,Trypanosomiasis,Clinical,,Cattle,1,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Cheptais,,,Village/Farm,1/23/2024,1/4/2024,Helminthiasis,Clinical,,Cattle,5,5,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8462793,34.5651254,Village/Farm,1/4/2024,1/4/2024,Ketosis,Clinical,,Cattle,2,1,0,0,0,Mixed,0,"[Treatment, Other]",0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8038927,34.4938038,Village/Farm,1/4/2024,1/4/2024,East Coast Fever(ECF),Clinical,,Cattle,4,1,0,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Golbo,3.115677,39.25903,Village/Farm,12/24/2023,12/24/2023,Brucellosis,Clinical,,Goats,45,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8462793,34.5651254,Village/Farm,1/4/2024,1/4/2024,Pneumonia,Clinical,,Sheep,2,2,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/4/2024,1/4/2024,Anaplasmosis,Clinical,,Cattle,6,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.803906,34.4924183,Village/Farm,1/19/2024,1/4/2024,Heart Water,Clinical,,Sheep,0,2,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8369456,34.5627028,Village/Farm,1/23/2024,1/4/2024,Post Parturient Condition ,Clinical,,Cattle,1,0,0,0,0,,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8369456,34.5627028,Village/Farm,1/23/2024,1/4/2024,Helminthiasis,Clinical,,Cattle,6,3,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/4/2024,Brucellosis,Clinical,,Cattle,2,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/2/2024,Animal bites,Clinical,,Goats,42,16,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/4/2024,Pneumonia,Clinical,,Cattle,3,2,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/23/2024,1/2/2024,Animal bites,Clinical,,Goats,53,7,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Bumula,Khasoko,0.5360053,34.4744053,Village/Farm,1/30/2024,1/2/2024,Rabies,Clinical,,Dogs,100,1,1,0,0,Extensive,5,"[Isolation, Stamping Out]",0,GOK,KABS
Marsabit,Moyale,Butiye,3.51115348,38.9736606,Village/Farm,12/25/2023,12/25/2023,Meningitis ,Clinical,,Goats,25,13,0,0,0,Extensive,0,[No Action],0,GOK,KABS
Bungoma,Bumula,Khasoko,0.5035518,34.4307432,Village/Farm,1/30/2024,1/2/2024,Dystocia,Clinical,,Cattle,1,1,0,0,0,Intensive,0,"[Treatment, Stamping Out]",0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8369456,34.5627028,Village/Farm,1/25/2024,1/4/2024,East Coast Fever(ECF),Clinical,,Cattle,3,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.607917,38.103166,Village/Farm,12/31/2023,12/31/2023,Black Quarter,Clinical,,Goats,217,17,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/3/2024,Brucellosis,Clinical,,Goats,20,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/2/2024,Colic,Clinical,,Donkey,1,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/25/2024,1/4/2024,Trypanosomiasis,Clinical,,Cattle,3,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/25/2024,1/2/2024,Mange,Clinical,,Goats,14,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8369456,34.5627028,Village/Farm,1/25/2024,1/3/2024,Coeneurosis,Clinical,,Goats,5,2,1,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/4/2024,Foot and Mouth Disease (FMD),Clinical,,Cattle,5,2,0,0,0,Extensive,0,"[Treatment, Isolation]",0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/4/2024,Laminitis,Clinical,,Cattle,6,1,0,0,0,Intensive,,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/25/2024,1/1/2024,Brucellosis,Clinical,,Goats,44,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/3/2024,Brucellosis,Clinical,,Goats,1,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/2/2024,Animal bites,Clinical,,Goats,21,13,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,,,Village/Farm,1/31/2024,1/4/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,0,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8522867,34.5557807,Village/Farm,1/31/2024,1/4/2024,Helminthiasis,Clinical,,Cattle,6,6,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Bungoma,Webuye West,Matulo,0.5837917,34.7355757,Village/Farm,1/29/2024,1/3/2024,Acute Camel Disease Syndromes (ACDS),Clinical,,Camel,52,4,4,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bungoma,Mt. Elgon,Chepyuk,0.8589039,34.5474952,Village/Farm,1/25/2024,1/4/2024,Trypanosomiasis,Clinical,,Cattle,0,1,0,0,0,Mixed,,"[Treatment, Vector Control]",0,GOK,KABS
Bungoma,Kimilili,Maeni,0.755265,34.7006832,Village/Farm,1/6/2024,1/5/2024,Anaplasmosis,Clinical,,Cattle,1,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Busia,Butula,Marachi West,0.3025848,34.2037695,Village/Farm,1/1/2024,1/5/2024,Helminthiasis,Post Mortem,,Sheep,0,1,0,2,0,,0,Trimming ,0,GOK,KABS
Busia,Nambale,Bukhayo East,0.4631201,34.3291278,Village/Farm,1/2/2024,1/5/2024,Helminthiasis,Clinical,,Donkey,3,3,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Busia,Teso South,Chakol South,0.4784457,34.2107192,Village/Farm,1/4/2024,1/3/2024,Brucellosis,Clinical,,Camel,1,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Narok,Narok South,Loita,-1.8735092,35.8377097,Village/Farm,12/13/2023,12/13/2023,footrot,Clinical,,Goats,74,12,0,0,0,Mixed,0,"[Treatment, Isolation]",0,GOK,KABS
Busia,Matayos,Bukhayo West,0.456186,34.1217231,Village/Farm,1/4/2024,1/4/2024,Pneumonia,Clinical,,Goats,28,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Busia,Teso South,Amukura Central,0.5288516,34.2531004,Village/Farm,1/4/2024,1/5/2024,Helminthiasis,Post Mortem,,Goats,0,1,0,5,0,,,Slaughter,0,GOK,KABS
Busia,Teso South,Amukura Central,0.539636,34.2517112,Village/Farm,1/4/2024,1/5/2024,Foot Rot,Clinical,,Pigs,5,1,0,1,0,Intensive,0,[Treatment],0,GOK,KABS
Busia,Nambale,Bukhayo North/Waltsi,0.4623533,34.3353737,Village/Farm,1/4/2024,1/4/2024,Black Quarter,Clinical,,Cattle,2,1,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Busia,Butula,Elugulu,,,Village/Farm,1/4/2024,1/5/2024,Pneumonia,Clinical,,Goats,19,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Busia,Butula,Marachi North,,,Village/Farm,1/4/2024,1/5/2024,Helminthiasis,Clinical,,Cattle,3,1,0,0,0,Mixed,0,deworming,0,GOK,KABS
Busia,Teso South,Amukura East,0.4909278,34.2937258,Village/Farm,1/5/2024,1/4/2024,Helminthiasis,Clinical,,Goats,2,1,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Busia,Nambale,Nambale Township,0.4543431,34.2819221,Village/Farm,1/6/2024,1/5/2024,Anthrax,Clinical,,Cattle,4,0,1,0,0,Mixed,0,"[Quarantine, Vaccination]",0,GOK,KABS
Busia,Teso North,Malaba South,0.5701904,34.29928,Village/Farm,1/6/2024,1/5/2024,Rabies,Clinical,,Cattle,2,1,0,0,0,Mixed,0,[Isolation],0,GOK,KABS
