county,Disease/ Condition,Number at Risk
Samburu,Helminthiasis,43
Tana River,Pneumonia,53
Samburu,Helminthiasis,0
Tana River,Pneumonia,62
Samburu,  Orf,31
Tana River,Pneumonia,67
Tana River,Pneumonia,48
Nyeri,Lumpy Skin Disease (LSD),3
Tana River,Pneumonia,53
Vihiga,Black Quarter,25
Tana River,Pneumonia,65
Tana River,Pneumonia,69
Tana River,Pneumonia,51
Tana River,Pneumonia,64
Tana River,Pneumonia,53
Tana River,Pneumonia,58
Tana River,Pneumonia,63
Tana River,Pneumonia,69
Taita Taveta,Abortion ,1
Tana River,Pneumonia,49
Tana River,Pneumonia,59
Tana River,Pneumonia,59
Tana River,Pneumonia,61
Taita Taveta,East Coast Fever(ECF),0
Tana River,Pneumonia,59
Busia,Mastitis,3
Elgeyo/Marakwet,0,14
Taita Taveta,Pneumonia,0
Taita Taveta,Trypanosomiasis,2
Taita Taveta,Trypanosomiasis,0
Taita Taveta,Retained Afterbirth ,0
Vihiga,Foot and Mouth Disease (FMD),7
Makueni,Pneumonia,0
Kakamega,Black Quarter,0
Taita Taveta,East Coast Fever(ECF),0
Taita Taveta,Trypanosomiasis,20
Marsabit,Helminthiasis,56
Taita Taveta,Pneumonia,0
Taita Taveta,Trypanosomiasis,15
Marsabit,Peste des Petit Ruminants (PPR),56
Taita Taveta,Retained Afterbirth ,0
Taita Taveta,Helminthiasis,20
Tana River,Helminthiasis,8
Marsabit,Rift Valley Fever (RVF),37
Busia,Trypanosomiasis,3
Samburu,Sprain,15
Busia,Trypanosomiasis,2
Busia,Heart Water,6
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),32
Taita Taveta,Helminthiasis,5
Marsabit,Brucellosis,21
Busia,East Coast Fever(ECF),1
Baringo,Goat Pox,3500
Marsabit,Rift Valley Fever (RVF),19
Baringo,Sheep Pox,315
Marsabit,Haemorrhagic septicemia,20
Vihiga,Helminthiasis,7
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),39
Marsabit,Ephemeral Fever,15
Marsabit,Rift Valley Fever (RVF),83
Kakamega,Mange,2
Kakamega,Foot and Mouth Disease (FMD),0
Vihiga,Lumpy Skin Disease (LSD),10
Kwale,Helminthiasis,25
Kisumu,Nsd,2
Kwale,Trypanosomiasis,8
Busia,Trypanosomiasis,6
Busia,Lumpy Skin Disease (LSD),9
Taita Taveta,Mastitis,1
Busia,Black Quarter,9
Busia,Traumatic Injury ,1
Busia,Pneumonia,6
Taita Taveta,Trypanosomiasis,0
Vihiga,Helminthiasis,5
Busia,Trypanosomiasis,16
Busia,Trypanosomiasis,1
Busia,Trypanosomiasis,16
Vihiga,Helminthiasis ,0
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),138
Marsabit,Rift Valley Fever (RVF),16
Vihiga,Pneumonia,1
Busia,Trypanosomiasis,6
Marsabit,Rift Valley Fever (RVF),5
Busia,Anaestrus ,1
Nairobi,Rabies,2
Marsabit,Rift Valley Fever (RVF),12
Marsabit,Organophosphate,0
Siaya,Parvovirus,2
Marsabit,Brucellosis,51
Tana River,Contagious Caprine Pleuropneumonia (CCPP),67
Marsabit,Blue Tongue,2
Vihiga,Retained Placenta,0
Marsabit,Brucellosis,48
Tana River,Contagious Caprine Pleuropneumonia (CCPP),153
Tana River,Contagious Caprine Pleuropneumonia (CCPP),134
Tana River,Contagious Caprine Pleuropneumonia (CCPP),123
Tana River,Contagious Caprine Pleuropneumonia (CCPP),51
Tana River,Contagious Caprine Pleuropneumonia (CCPP),103
Tana River,Contagious Caprine Pleuropneumonia (CCPP),139
Tana River,Contagious Caprine Pleuropneumonia (CCPP),128
Tana River,Contagious Caprine Pleuropneumonia (CCPP),105
Tana River,Contagious Caprine Pleuropneumonia (CCPP),98
Tana River,Contagious Caprine Pleuropneumonia (CCPP),97
Tana River,Contagious Caprine Pleuropneumonia (CCPP),127
Tana River,Contagious Caprine Pleuropneumonia (CCPP),96
Tana River,Contagious Caprine Pleuropneumonia (CCPP),98
Marsabit,Pneumonia,61
Tana River,Contagious Caprine Pleuropneumonia (CCPP),63
Tana River,Contagious Caprine Pleuropneumonia (CCPP),126
Tana River,Contagious Caprine Pleuropneumonia (CCPP),95
Samburu,Helminthiasis,21
Marsabit,Brucellosis,1
Tana River,Pneumonia,29
Marsabit,Malaria,51
Marsabit,Pneumonia,223
Marsabit,Enterotoxaemia,73
Marsabit,Malaria,34
Marsabit,Goat Pox,25
Marsabit,Helminthiasis,61
Tana River,Contagious Caprine Pleuropneumonia (CCPP),89
Tana River,Pneumonia,34
Tana River,Pneumonia,41
Tana River,Pneumonia,46
Tana River,Contagious Caprine Pleuropneumonia (CCPP),146
Tana River,Pneumonia,57
Tana River,Pneumonia,34
Tana River,Contagious Caprine Pleuropneumonia (CCPP),94
Tana River,Pneumonia,51
Tana River,Pneumonia,68
Marsabit,Haemorrhagic septicemia,1
Tana River,Pneumonia,59
Tana River,Pneumonia,38
Tana River,Pneumonia,56
Tana River,Pneumonia,126
Tana River,Pneumonia,46
Tana River,Pneumonia,49
Tana River,Pneumonia,53
Tana River,Pneumonia,59
Marsabit,Rift Valley Fever (RVF),3
Tana River,Pneumonia,38
Tana River,Pneumonia,52
Marsabit,Trypanosomiasis,12
Tana River,Pneumonia,96
Tana River,Pneumonia,46
Makueni,Newcastle Disease (NCD),300
Marsabit,Trypanosomiasis,16
Makueni,Pneumonia,6
Tana River,Pneumonia,43
Marsabit,Trypanosomiasis,18
Makueni,East Coast Fever(ECF),10
Makueni,Trypanosomiasis,8
Makueni,Anaplasmosis,8
Busia,Lumpy Skin Disease (LSD),49
Taita Taveta,Helminthiasis,5
Mombasa,Helminthiasis,4
Mombasa,Helminthiasis,17
Mombasa,Helminthiasis,1
Nyeri,East Coast Fever(ECF),3
Tana River,Animal bites,5
Taita Taveta,Helminthiasis,1
Tana River,Animal bites,76
Kakamega,Foot and Mouth Disease (FMD),80
Tana River,Contagious Caprine Pleuropneumonia (CCPP),146
Tana River,Contagious Caprine Pleuropneumonia (CCPP),106
Tana River,Helminthiasis,23
Tana River,Contagious Caprine Pleuropneumonia (CCPP),109
Vihiga,Wart Infection,0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),86
Tana River,Contagious Caprine Pleuropneumonia (CCPP),122
Tana River,Contagious Caprine Pleuropneumonia (CCPP),135
Taita Taveta,Helminthiasis,15
Marsabit,Helminthiasis,0
Tana River,Contagious Caprine Pleuropneumonia (CCPP),106
Tana River,Contagious Caprine Pleuropneumonia (CCPP),153
Tana River,Contagious Caprine Pleuropneumonia (CCPP),139
Tana River,Contagious Caprine Pleuropneumonia (CCPP),98
Tana River,Contagious Caprine Pleuropneumonia (CCPP),127
Tana River,Contagious Caprine Pleuropneumonia (CCPP),128
Tana River,Contagious Caprine Pleuropneumonia (CCPP),136
Tana River,Contagious Caprine Pleuropneumonia (CCPP),106
Tana River,Contagious Caprine Pleuropneumonia (CCPP),95
Tana River,Contagious Caprine Pleuropneumonia (CCPP),153
Tana River,Contagious Caprine Pleuropneumonia (CCPP),132
Tana River,Contagious Caprine Pleuropneumonia (CCPP),129
Tana River,Contagious Caprine Pleuropneumonia (CCPP),112
Marsabit,Helminthiasis,0
Marsabit,Rabies,3
Marsabit,Rift Valley Fever (RVF),27
Marsabit,Peste des Petit Ruminants (PPR),36
Tana River,Contagious Caprine Pleuropneumonia (CCPP),126
Marsabit,Rift Valley Fever (RVF),20
Tana River,Contagious Caprine Pleuropneumonia (CCPP),135
Tana River,Trypanosomiasis,13
Busia,Lumpy Skin Disease (LSD),3
Tana River,Pneumonia,32
Marsabit,Brucellosis,23
Marsabit,Poisoning,35
Busia,Brucellosis,1
Marsabit,Helminthiasis,63
Kakamega,East Coast Fever(ECF),0
Marsabit,Poisoning,12
Busia,Lumpy Skin Disease (LSD),18
Marsabit,Caprine arthritis ,6
Marsabit,Babeosis,65
Marsabit,Pneumonia,65
Busia,Trypanosomiasis,14
Busia,Abdominal Hernia,12
Busia,Trypanosomiasis,3
Busia,Anaplasmosis,16
Marsabit,Helminthiasis,65
Marsabit,Peste des Petit Ruminants (PPR),100
Marsabit,Enterotoxaemia,59
Tana River,Helminthiasis,5
Kakamega,Lumpy Skin Disease (LSD),2
Marsabit,Arthritis,30
Kitui,Heart Water,36
Marsabit,Peste des Petit Ruminants (PPR),97
Marsabit,Arthritis,10
Marsabit,Peste des Petit Ruminants (PPR),31
Marsabit,Coenurosis ,23
Marsabit,Brucellosis,100
Marsabit,Peste des Petit Ruminants (PPR),29
Bomet,Pneumonia,0
Marsabit,Animal bites,9
Marsabit,Peste des Petit Ruminants (PPR),70
Marsabit,Brucellosis,24
Busia,East Coast Fever(ECF),5
Elgeyo/Marakwet,East Coast Fever(ECF),6
Busia,African Swine Fever (ASF),5
Marsabit,Tetanus,4
Marsabit,Rift Valley Fever (RVF),23
Narok,Foot and Mouth Disease (FMD),28
Elgeyo/Marakwet,No,8
Marsabit,Rift Valley Fever (RVF),25
Busia,Pink Eye,1
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),3
Marsabit,Brucellosis,21
Marsabit,Kerato Conjuctivities ,1
Taita Taveta,Leg Fracture ,3
Siaya,Heart Water,3
Tana River,Contagious Caprine Pleuropneumonia (CCPP),135
Taita Taveta,Anaplasmosis,1
Tana River,Contagious Caprine Pleuropneumonia (CCPP),129
Marsabit,Pneumonia,37
Marsabit,Predation by Hynes ,2
Marsabit,Brucellosis,37
Tana River,Contagious Caprine Pleuropneumonia (CCPP),186
Tana River,Contagious Caprine Pleuropneumonia (CCPP),153
Marsabit,Brucellosis,1
Tana River,Contagious Caprine Pleuropneumonia (CCPP),149
Busia,Trypanosomiasis,4
Tana River,Contagious Caprine Pleuropneumonia (CCPP),148
Tana River,Pneumonia,58
Tana River,Contagious Caprine Pleuropneumonia (CCPP),176
Tana River,Contagious Caprine Pleuropneumonia (CCPP),186
Tana River,Contagious Caprine Pleuropneumonia (CCPP),198
Tana River,Pneumonia,56
Tana River,Contagious Caprine Pleuropneumonia (CCPP),205
Tana River,Pneumonia,53
Tana River,Pneumonia,52
Tana River,Pneumonia,48
Tana River,Pneumonia,55
Tana River,Pneumonia,59
Tana River,Pneumonia,65
Tana River,Pneumonia,54
Tana River,Pneumonia,51
Tana River,Pneumonia,47
Tana River,Pneumonia,51
Marsabit,Brucellosis,43
Tana River,Pneumonia,58
Tana River,Pneumonia,39
Tana River,Pneumonia,38
Tharaka-Nithi,Pneumonia,49
Tharaka-Nithi,Pneumonia,49
Tana River,Pneumonia,49
Tana River,Pneumonia,49
Tana River,Pneumonia,52
Marsabit,Rift Valley Fever (RVF),21
Marsabit,Brucellosis,15
Makueni,Helminthiasis,6
Marsabit,Pneumonia,16
Taita Taveta,East Coast Fever(ECF),1
Marsabit,Rift Valley Fever (RVF),7
Marsabit,Brucellosis,73
Marsabit,East Coast Fever(ECF),2
Busia,Lumpy Skin Disease (LSD),1
Vihiga, Locia,1
Nairobi,Rabies,4
Makueni,Pneumonia,14
Makueni,Pneumonia,5
Makueni,Anaplasmosis,8
Samburu,Foot and Mouth Disease (FMD),120
Makueni,Anaplasmosis,6
Samburu,Contagious Caprine Pleuropneumonia (CCPP),56
Makueni,Pneumonia,15
Makueni,Heart Water,7
Marsabit,Malaria,32
Samburu,Peste des Petit Ruminants (PPR),96
Nyandarua,Foot and Mouth Disease (FMD),6
Siaya,Tryps ,6
Siaya,Helminthes,6
Siaya,Anaplasmosis,3
Nyeri,Foot and Mouth Disease (FMD),7
Makueni,Newcastle Disease (NCD),320
Marsabit,Pneumonia,25
Marsabit,Brucellosis,10
Marsabit,Torticolis,85
Siaya,Anaplasmosis,2
Samburu,Foot and Mouth Disease (FMD),130
Marsabit,Pneumonia,99
Busia,Anaplasmosis,1
Trans Nzoia,Pneumonia,129
Trans Nzoia,Pneumonia,76
Turkana,Pneumonia,109
Marsabit,Peste des Petit Ruminants (PPR),58
Tana River,Pneumonia,53
Turkana,Contagious Caprine Pleuropneumonia (CCPP),159
Tana River,Contagious Caprine Pleuropneumonia (CCPP),157
Turkana,Pneumonia,95
Tana River,Pneumonia,49
Turkana,Pneumonia,185
Turkana,Contagious Caprine Pleuropneumonia (CCPP),165
Turkana,Contagious Caprine Pleuropneumonia (CCPP),153
Uasin Gishu,Pneumonia,109
Uasin Gishu,Contagious Caprine Pleuropneumonia (CCPP),149
Tana River,Contagious Caprine Pleuropneumonia (CCPP),176
Uasin Gishu,Contagious Caprine Pleuropneumonia (CCPP),137
Tana River,Contagious Caprine Pleuropneumonia (CCPP),195
Uasin Gishu,Pneumonia,157
Marsabit,Trypanosomiasis,60
Tana River,Pneumonia,238
Uasin Gishu,Contagious Caprine Pleuropneumonia (CCPP),136
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),138
Vihiga,Pneumonia,75
Vihiga,Pneumonia,68
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),206
Vihiga,Pneumonia,94
Vihiga,Pneumonia,95
Vihiga,Pneumonia,132
Vihiga,Pneumonia,97
Vihiga,Pneumonia,95
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),184
Tana River,Pneumonia,89
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),138
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),98
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),214
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),108
Tana River,Pneumonia,86
Tana River,Pneumonia,87
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),199
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),156
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),197
Taita Taveta,Limping ,0
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),138
Taita Taveta,Poor Body Condition ,0
Marsabit,Rift Valley Fever (RVF),85
Marsabit,Fowl paralysis,26
Taita Taveta,Trypanosomiasis,4
Marsabit,Laryngotracheitis,26
Nyandarua,Lumpy Skin Disease (LSD),4
Marsabit,Dystocia,0
Busia,East Coast Fever(ECF),1
Marsabit,Brucellosis,45
Marsabit,Peste des Petit Ruminants (PPR),100
Elgeyo/Marakwet,Anaplasmosis,5
Siaya,Trauma,14
Elgeyo/Marakwet,East Coast Fever(ECF),4
Siaya,Bovine Papillomatosis ,20
Marsabit,Brucellosis,80
Marsabit,Brucellosis,60
Busia,Helminthiasis,3
Siaya,Lumpy Skin Disease (LSD),4
Marsabit,Brucellosis,38
Busia,Trypanosomiasis,2
Busia,Anaplasmosis,2
Marsabit,Brucellosis,16
Busia,0,1
Kwale,Heart Water,7
Nandi,Anaplasmosis,3
Kwale,Coccidosis,200
Kwale,Newcastle Disease (NCD),11
Marsabit,Brucellosis,13
Kwale,Enterotoxaemia,16
Kwale,Contagious Caprine Pleuropneumonia (CCPP),6
Kwale,Pneumonia,15
Marsabit,Brucellosis,13
Kwale,Helminthiasis,58
Kwale,Contagious Caprine Pleuropneumonia (CCPP),8
Kwale,Helminthiasis,8
Marsabit,Brucellosis,38
Kwale,Helminthiasis,6
Kwale,Orf,9
Kwale,Contagious Caprine Pleuropneumonia (CCPP),8
Kwale,Contagious Caprine Pleuropneumonia (CCPP),15
Marsabit,Pneumonia,28
Marsabit,Brucellosis,55
Taita Taveta,Trypanosomiasis,35
Taita Taveta,Pneumonia,0
Siaya,Streptothricosis,5
Marsabit,Pneumonia,52
Taita Taveta,Coccidosis,30
Marsabit,Brucellosis,45
Kakamega,Black Quarter,1
Kajiado,Lumpy Skin Disease (LSD),0
Elgeyo/Marakwet,East Coast Fever(ECF),10
Marsabit,Goat Pox,13
Vihiga,Anaplasmosis,2
Marsabit,Foot Rot,21
Marsabit,Brucellosis,43
Taita Taveta,Trypanosomiasis,15
Baringo,Foot and Mouth Disease (FMD),35
Vihiga,Coccidosis,50
Kakamega,Pneumonia,2
Marsabit,Brucellosis,31
Busia,Helminthiasis,0
Elgeyo/Marakwet,Rabies,18
Siaya,Mastitis ,0
Uasin Gishu,Anthrax,4
Nairobi,Aggressiveness due to loneliness ,2
Taita Taveta,East Coast Fever(ECF),1
Marsabit,Pneumonia,130
Siaya,Anaplasmosis,18
Makueni,Helminthiasis,0
Siaya,Pneumonia,11
Marsabit,Mange,58
Marsabit,Brucellosis,18
Nyeri,Lumpy Skin Disease (LSD),1
Marsabit,Animal bites,15
Marsabit,Brucellosis,16
Marsabit,Brucellosis,41
Marsabit,Helminthiasis,15
Marsabit,Pneumonia,44
Marsabit,Brucellosis,21
Siaya,Trypanosomiasis,4
Narok,Helminthiasis,123
Marsabit,Peste des Petit Ruminants (PPR),63
Siaya,Brucellosis,1
Makueni,Lumpy Skin Disease (LSD),9
Garissa,Contagious Caprine Pleuropneumonia (CCPP),86
Vihiga,Trypanosomiasis,13
Makueni,Pneumonia,3
Taita Taveta,Trypanosomiasis,2
Taita Taveta,Anaplasmosis,1
Busia,Brucellosis,2
Taita Taveta,Demedicosis,37
Taita Taveta,Myiasis,0
Kwale,Helminthiasis,24
Kakamega,Helminthiasis,4
Taita Taveta,Myiasis,0
Makueni,Rabies,2
Makueni,Rabies,6
Taita Taveta,Trypanosomiasis,7
Marsabit,Brucellosis,35
Kakamega,East Coast Fever(ECF),0
Taita Taveta,Myiasis,0
Taita Taveta,Trypanosomiasis,0
Siaya,Oestrus ovina,0
Siaya,Helminthiasis,9
Siaya,Newcastle Disease (NCD),21
Taita Taveta,Trypanosomiasis,9
Taita Taveta,Wound,9
Taita Taveta,East Coast Fever(ECF),2
Vihiga,Anaplasmosis,7
Taita Taveta,Diarrhoea,79
Vihiga,Lumpy Skin Disease (LSD),0
Taita Taveta,Pink Eye Infection,66
Taita Taveta,Diarrhoea,9
Taita Taveta,Lumpy Skin Disease (LSD),10
Taita Taveta,Lumpy Skin Disease (LSD),20
Marsabit,Pneumonia,35
Nakuru,Sweating Sickness,0
Taita Taveta,GIT Infection,1
Taita Taveta,Contagious Caprine Pleuropneumonia (CCPP),0
Taita Taveta,Trypanosomiasis,1
Vihiga,Helminthiasis,25
Taita Taveta,Trypanosomiasis,3
Marsabit,Vitamin D deficiency,12
Taita Taveta,Fowl Pox,14
Vihiga,Helminthiasis,4
Bomet,Helminthiasis,0
Vihiga,Helminthiasis,6
Samburu,Animal bites,3
Taita Taveta,Physical Trauma,2
Marsabit,Brucellosis,36
Siaya,Helminthiasis,9
Vihiga,Helminthiasis,3
Marsabit,Rift Valley Fever (RVF),89
Samburu,Pneumonia,5
Siaya,East Coast Fever(ECF),2
Taita Taveta,Trypanosomiasis,1
Kakamega,Pink Eye ,9
Elgeyo/Marakwet,Rabies,17
Kajiado,Foot and Mouth Disease (FMD),97
Makueni,Pneumonia,2
Makueni,Poisoning,5
Marsabit,Helminthiasis,287
Elgeyo/Marakwet,Ephemeral Fever,3
Kajiado,Foot and Mouth Disease (FMD),97
Mombasa,Ear Canker,21
Kajiado,Foot and Mouth Disease (FMD),97
Uasin Gishu,East Coast Fever(ECF),6
Makueni,Liver Abscess,1
Kajiado,Foot and Mouth Disease (FMD),97
Kajiado,Foot and Mouth Disease (FMD),97
Samburu,Water Intoxication ,30
Taita Taveta,Trypanosomiasis,3
Kajiado,Foot and Mouth Disease (FMD),97
Kajiado,Foot and Mouth Disease (FMD),97
Marsabit,Helminthiasis,36
Samburu,Aflatoxin ,12
Samburu,East Coast Fever(ECF),9
Kajiado,Foot and Mouth Disease (FMD),97
Kajiado,Foot and Mouth Disease (FMD),97
Marsabit,Peste des Petit Ruminants (PPR),56
Kajiado,Foot and Mouth Disease (FMD),97
Samburu,Helminthiasis,33
Marsabit,Peste des Petit Ruminants (PPR),50
Busia,Lumpy Skin Disease (LSD),3
Kajiado,Foot and Mouth Disease (FMD),97
Marsabit,Brucellosis,51
Vihiga,Lumpy Skin Disease (LSD),0
Makueni,Hide Limb Fracture,0
Marsabit,Peste des Petit Ruminants (PPR),64
Marsabit,Brucellosis,14
Marsabit,Brucellosis,24
Marsabit,Helminthiasis,17
Busia,Black Quarter,7
Marsabit,Peste des Petit Ruminants (PPR),85
Marsabit,Brucellosis,35
Marsabit,Caseous Lymphanitis,35
Marsabit,Helminthiasis,26
Marsabit,Brucellosis,21
Nakuru,Sheep Pox,107
Marsabit,Poisoning,54
Marsabit,Poisoning,20
Marsabit,Peste des Petit Ruminants (PPR),51
Siaya,Fowl Pox,12
Marsabit,Peste des Petit Ruminants (PPR),63
Marsabit,Helminthiasis,150
Elgeyo/Marakwet,East Coast Fever(ECF),1
Marsabit,Brucellosis,34
Bomet,Helminthiasis,0
Marsabit,Helminthiasis,23
Siaya,Goat Pox,2
Kwale,Pneumonia,20
Marsabit,Pneumonia,14
Marsabit,Circling,13
Kisumu,East Coast Fever(ECF),3
Vihiga, Abscess,1
Makueni,Retained Placenta,3
Kisumu,East Coast Fever(ECF),5
Marsabit,Animal bites,0
Kisumu,0,2
Elgeyo/Marakwet,East Coast Fever(ECF),3
Elgeyo/Marakwet,Rabies,1
Taita Taveta,Pneumonia,5
Siaya,Anaphylaxis ,3
Siaya,Heart Water,2
Elgeyo/Marakwet,East Coast Fever(ECF),2
Elgeyo/Marakwet,Anaplasmosis,3
Taita Taveta,Coccidosis,8
Elgeyo/Marakwet,East Coast Fever(ECF),5
Elgeyo/Marakwet,Pneumonia,51
Taita Taveta,Pneumonia,15
Taita Taveta,Retained Afterbirth ,0
Kwale,Pneumonia,10
Marsabit,Footrot,5
Elgeyo/Marakwet,East Coast Fever(ECF),1
Marsabit,Brucellosis,54
Marsabit, Pneumonia ,1
Kakamega,Helminthiasis,1
Marsabit,Brucellosis,10
Kakamega,Helminthiasis,3
Marsabit,Animal bites,15
Marsabit,Brucellosis,20
Marsabit,Rift Valley Fever (RVF),12
Kakamega,East Coast Fever(ECF),4
Taita Taveta,Anaplasmosis ,21
Marsabit,Rift Valley Fever (RVF),24
Marsabit,Trypanosomiasis,9
Taita Taveta,Mange,1
Siaya,East Coast Fever(ECF),2
Kakamega,Pneumonia,0
Kwale,Helminthiasis,9
Kwale,Helminthiasis,9
Kwale,Pneumonia,8
Kwale,Helminthiasis,15
Makueni,Pneumonia,7
Kwale,Pneumonia,3
Kwale,Helminthiasis,0
Taita Taveta,East Coast Fever(ECF),20
Taita Taveta,East Coast Fever(ECF),3
Kwale,Pneumonia,6
Vihiga,Peste des Petit Ruminants (PPR),113
Taita Taveta,Trypanosomiasis,5
Busia,Enterotoxaemia,4
Marsabit,Helminthiasis,33
Taita Taveta,Helminthiasis,15
Marsabit,Peste des Petit Ruminants (PPR),52
Busia,Coccidosis,2
Marsabit,Brucellosis,25
Marsabit,Peste des Petit Ruminants (PPR),89
Marsabit,Helminthiasis,45
Marsabit,Brucellosis,88
Marsabit,Brucellosis,71
Siaya,Helminthiasis,3
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),2
Marsabit,Brucellosis,18
Marsabit,Brucellosis,88
Marsabit,Brucellosis,6
Marsabit,Mange,26
Marsabit,Hyenas ,1
Makueni,Helminthiasis,3
Marsabit,Brucellosis,15
Makueni,East Coast Fever(ECF),4
Busia,Lumpy Skin Disease (LSD),8
Makueni,East Coast Fever(ECF),0
Vihiga,Foot and Mouth Disease (FMD),2
Kakamega,East Coast Fever(ECF),1
Vihiga,East Coast Fever(ECF),1
Makueni,East Coast Fever(ECF),1
Marsabit,Enterotoxaemia,67
Vihiga,Compound Fructure,3
Kajiado,Lumpy Skin Disease (LSD),15
Marsabit,Peste des Petit Ruminants (PPR),71
Marsabit,Poisoning,120
Marsabit,Brucellosis,13
Makueni,Retained Placenta ,1
Marsabit,Mange,36
Marsabit,Pneumonia,64
Marsabit,Trypanosomiasis,11
Vihiga,Helminthiasis,107
Busia,Helminthiasis,5
Busia,Suspected Snake Bite,5
Bomet,Helminthiasis,0
Taita Taveta,Canine Distemper,0
Taita Taveta,East Coast Fever(ECF),6
Vihiga,Anaplasmosis,1
Samburu,Animal bites,47
Elgeyo/Marakwet,Brucellosis,5
Tana River,Trypanosomiasis,21
Elgeyo/Marakwet,Helminthiasis,20
Busia,Cervical Prolapse In An Incalf Cow,1
Narok,None,200
Nandi,Anaplasmosis,0
Elgeyo/Marakwet,Rabies,3
Vihiga,Pneumonia,3
Makueni,Contagious Caprine Pleuropneumonia (CCPP),10
Bomet,Helminthiasis,0
Elgeyo/Marakwet,East Coast Fever(ECF),8
Bomet,Helminthiasis,0
Marsabit,Pneumonia,59
Elgeyo/Marakwet,East Coast Fever(ECF),9
Vihiga,Lumpy Skin Disease (LSD),0
Makueni,Pneumonia,17
Marsabit,Mastitis,0
Makueni,Pneumonia,2
Nyandarua,Rabies,4
Siaya,Anaplasmosis,14
Mombasa,Mange,1
Samburu,Septicemia ,2
Kwale,Contagious Caprine Pleuropneumonia (CCPP),75
Samburu,Johnes Disease,28
Samburu,East Coast Fever(ECF),53
Busia,Fowl Pox,480
Samburu,Mastitis ,2
Taita Taveta,Newcastle Disease (NCD),20
Taita Taveta,Helminthiasis,80
Samburu,Suspected TRP,0
Kwale,Wound,6
Samburu,East Coast Fever(ECF),7
Marsabit,Brucellosis,6
Nyeri,Lumpy Skin Disease (LSD),0
Taita Taveta,Mange,1
Laikipia,Rabies,2
Taita Taveta,Trypanosomiasis,15
Taita Taveta,Helminthiasis,12
Samburu,Animal bites,3
Kakamega,Black Quarter,3
Marsabit,Helminthiasis,20
Vihiga,Anthrax,11
Bomet,Helminthiasis,0
Marsabit,Mange,27
Marsabit,Heart Water,154
Marsabit,Poisoning,17
Vihiga,Mange,2
Vihiga,Heart Water,127
Vihiga,Pneumonia,1
Nakuru,Anaplasmosis,5
Vihiga,Heart Water,148
Nakuru,East Coast Fever(ECF),4
Vihiga,Enterotoxaemia,1
Vihiga,Heart Water,152
Marsabit,Poisoning,103
Taita Taveta,Eye Infection,3
Wajir,Contagious Caprine Pleuropneumonia (CCPP),100
Kajiado,Contagious Caprine Pleuropneumonia (CCPP),60
Elgeyo/Marakwet,East Coast Fever(ECF),8
Elgeyo/Marakwet,East Coast Fever(ECF),6
Vihiga,0,0
Elgeyo/Marakwet,Helminthiasis,1
Elgeyo/Marakwet,Footrot,91
Marsabit,Pneumonia,26
Elgeyo/Marakwet,Anaplasmosis,1
Marsabit,Brucellosis,24
Kakamega,East Coast Fever(ECF),1
Nyandarua,Anaplasmosis,10
Makueni,Anaplasmosis,4
Samburu,Animal bites,1
Marsabit,Mange,19
Samburu,Animal bites,3
Taita Taveta,East Coast Fever(ECF),1
Vihiga,Lumpy Skin Disease (LSD),5
Samburu,Animal bites,1
Marsabit,Poisoning,36
Marsabit,Coccidosis,6
Kakamega,Anaplasmosis,2
Marsabit,Brucellosis,35
Marsabit,Coccidosis,8
Marsabit,Brucellosis,52
Marsabit,Caseous Lymphangitis ,11
Marsabit,Peste des Petit Ruminants (PPR),21
Marsabit,Peste des Petit Ruminants (PPR),1
Marsabit,Brucellosis,14
Marsabit,Helminthiasis,6
Marsabit,Pneumonia,20
Marsabit,Brucellosis,5
Marsabit,Brucellosis,26
Taita Taveta,Mastitis,3
Marsabit,Brucellosis,9
Bungoma,East Coast Fever(ECF),3
Marsabit,Pneumonia,39
Taita Taveta,Helminthiasis,2
Marsabit,Peste des Petit Ruminants (PPR),45
Marsabit,Brucellosis,12
Bungoma,Helminthiasis,1
Bungoma,Pneumonia,15
Taita Taveta,Helminthiasis,0
Bungoma,Pneumonia,6
Kwale,Trypanosomiasis,4
Vihiga,Rabies,20
Bungoma,Helminthiasis,8
Baringo,Lumpy Skin Disease (LSD),30
Bungoma,Anaplasmosis,2
Makueni,Pneumonia,7
Busia,Helminthiasis,5
Trans Nzoia,Tetanus,12
Narok,Contagious Caprine Pleuropneumonia (CCPP),123
Taita Taveta,Mange,3
Narok,Foot and Mouth Disease (FMD),89
Mombasa,Pneumonia,66
