county,Disease_Condition,Species_Affected,Nature_of_Diagnosis,Production_System,Start_Outbreak_Event,Report_Date,Total_Number_Sick,Total_Vaccinated,Total_Number_Risk
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Extensive,2024-04-01,2024-04-01,179,0,5000
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Intensive,2024-06-26,2024-06-26,2,0,30
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Mixed,2024-04-25,2024-04-25,5,0,81
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Mixed,2024-05-21,2024-05-21,5,0,12
Baringo,Damerthophylosis,Cattle,Clinical,Extensive,2024-12-13,2024-12-13,1,0,7
Baringo,East Coast Fever(ECF),Cattle,Clinical,Extensive,2024-01-14,2024-01-01,1,0,5
Baringo,East Coast Fever(ECF),Cattle,Clinical,Mixed,2024-05-21,2024-05-21,1,0,6
Baringo,East Coast Fever(ECF),Cattle,Clinical,Mixed,2024-05-24,2024-05-24,1,0,4
Baringo,East Coast Fever(ECF),Cattle,Clinical,Mixed,2024-05-27,2024-05-27,1,0,6
Baringo,Enterotoxaemia,Cattle,Clinical,Mixed,2024-05-22,2024-05-22,2,0,12
Baringo,Enterotoxaemia,Sheep,Clinical,Mixed,2024-11-19,2024-11-19,2,0,12
Baringo,Enterotoxaemia,Sheep,Clinical,Mixed,2024-05-25,2024-05-25,4,0,12
Baringo,Enterotoxaemia,Sheep,Clinical,Mixed,2024-05-26,2024-05-26,3,0,12
Baringo,Enterotoxaemia,Sheep,Clinical,Mixed,2024-05-28,2024-05-28,5,0,18
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2023-12-30,2023-12-30,3,0,20
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-04-17,2024-04-17,289,0,742
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-05-12,2024-05-12,4,0,23
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Intensive,2023-12-20,2023-12-20,4,0,19
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-01-11,2024-01-23,3,0,5
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-01-13,2024-01-01,3,0,6
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-02-26,2024-02-26,2,0,35
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-05-28,2024-05-28,23,0,43
Baringo,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-06-03,2024-06-03,7,0,33
Baringo,Goat Pox,Goats,Clinical,Extensive,2022-12-16,2022-12-16,15,1111,3500
Baringo,Goat Pox,Goats,Clinical,Extensive,2022-12-21,2022-12-21,2,49,77
Baringo,Goat Pox,Goats,Clinical,Extensive,2024-06-19,2024-06-19,542,0,7153
Baringo,Goat Pox,Goats,Clinical,Intensive,2024-07-09,2024-07-09,20,58,38
Baringo,Goat Pox,Goats,Clinical,Intensive,2024-09-11,2024-09-11,20,0,56
Baringo,Goat Pox,Goats,Clinical,Intensive,2024-09-03,2024-09-03,2,0,12
Baringo,Goat Pox,Goats,Clinical,Intensive,2024-09-04,2024-09-04,1,0,40
Baringo,Heart Water,Goats,Clinical,Extensive,2024-03-26,2024-03-26,8,0,35
Baringo,Helminthiasis,Cattle,Clinical,Extensive,2024-12-28,2024-12-28,1,0,4
Baringo,Helminthiasis,Cattle,Clinical,Extensive,2024-02-07,2024-02-07,2,0,12
Baringo,Helminthiasis,Cattle,Clinical,Mixed,2024-01-19,2024-01-01,5,0,5
Baringo,Helminthiasis,Cattle,Clinical,Mixed,2023-01-22,2024-01-01,2,0,2
Baringo,Helminthiasis,Cattle,Clinical,Mixed,2024-01-06,2024-01-02,2,0,0
Baringo,Helminthiasis,Cattle,Clinical,Mixed,2024-05-21,2024-05-21,2,0,6
Baringo,Helminthiasis,Cattle,Clinical,Mixed,2024-05-25,2024-05-25,1,0,3
Baringo,Helminthiasis,Cattle,Clinical,Mixed,2024-05-27,2024-05-27,1,0,8
Baringo,Helminthiasis,Cattle,Post Mortem,,2024-01-08,2024-01-01,1,0,0
Baringo,Helminthiasis,Donkey,Clinical,Mixed,2024-05-25,2024-05-25,1,0,2
Baringo,Helminthiasis,Goats,Clinical,Mixed,2024-01-15,2024-01-04,2,0,6
Baringo,Helminthiasis,Goats,Clinical,Mixed,2024-05-24,2024-05-24,2,0,6
Baringo,Helminthiasis,Goats,Clinical,Mixed,2024-05-26,2024-05-26,4,0,8
Baringo,Helminthiasis,Goats,Post Mortem,,2024-01-29,2024-01-01,2,0,0
Baringo,Helminthiasis,Sheep,Clinical,Mixed,2024-05-17,2024-05-17,6,0,23
Baringo,Helminthiasis,Sheep,Clinical,Mixed,2024-05-21,2024-05-21,2,0,8
Baringo,Helminthiasis,Sheep,Clinical,Mixed,2024-05-23,2024-05-23,2,0,4
Baringo,Helminthiasis,Sheep,Clinical,Mixed,2024-05-25,2024-05-25,6,0,21
Baringo,Helminthiasis,Sheep,Clinical,Mixed,2024-05-27,2024-05-27,5,0,12
Baringo,Johnes Disease,Cattle,Clinical,Mixed,2024-11-24,2024-11-24,1,0,4
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Extensive,2023-11-27,2023-11-27,3,53,71
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Extensive,2023-12-15,2023-12-15,11,78,691
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Extensive,2023-12-25,2023-12-25,5,911,650
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Extensive,2024-05-07,2024-05-07,31,0,105
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-02-18,2024-02-18,2,0,30
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-03-21,2024-03-21,1,0,9
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-04-26,2024-04-26,1,0,4
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Mixed,2024-10-24,2024-10-24,1,0,100
Baringo,Lumpy Skin Disease (LSD),Cattle,Clinical,Mixed,2022-11-21,2022-11-21,2,0,35
Baringo,Newcastle Disease (NCD),Chicken,Clinical,Extensive,2024-12-20,2024-12-20,30,0,120
Baringo,Non,Dogs,Clinical,,2024-11-29,2024-11-29,1,0,2
Baringo,Non,Sheep,Clinical,Extensive,2024-11-24,2024-11-24,6,0,8
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2023-10-26,2023-10-26,12,0,50
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2024-10-27,2024-10-27,12,0,50
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2024-11-27,2024-11-27,156,0,650
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2024-11-28,2024-11-28,12,0,50
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2024-12-15,2024-12-15,3,0,30
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2024-12-09,2024-12-09,13,0,65
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-10-10,2024-10-10,5,0,70
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-10-12,2024-10-12,10,0,69
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-11-27,2024-11-27,12,0,50
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-03-09,2024-03-09,2,0,15
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-05-11,2024-05-11,20,0,41
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-07-07,2024-07-07,2,0,38
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-09-25,2024-09-25,3,0,30
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-09-27,2024-09-27,5,0,61
Baringo,Peste des Petit Ruminants (PPR),Goats,Clinical,Intensive,2024-09-03,2024-09-03,3,0,131
Baringo,Peste des Petit Ruminants (PPR),Sheep,Clinical,Extensive,2024-11-27,2024-11-27,12,0,53
Baringo,Peste des Petit Ruminants (PPR),Sheep,Clinical,Extensive,2024-12-31,2024-12-31,5,0,32
Baringo,Peste des Petit Ruminants (PPR),Sheep,Clinical,Extensive,2024-04-02,2024-04-02,90,0,3000
Baringo,Peste des Petit Ruminants (PPR),Sheep,Clinical,Intensive,2024-09-14,2024-09-14,5,0,102
Baringo,Peste des Petit Ruminants (PPR),Sheep,Clinical,Mixed,2024-09-21,2024-09-21,3,0,10
Baringo,Pneumonia,Cattle,Clinical,Mixed,2024-05-23,2024-05-23,1,0,4
Baringo,Pneumonia,Cattle,Clinical,Mixed,2024-05-24,2024-05-24,1,0,2
Baringo,Pneumonia,Cattle,Clinical,Mixed,2024-05-29,2024-05-29,1,0,4
Baringo,Pneumonia,Sheep,Clinical,Extensive,2024-12-15,2024-12-15,1,0,8
Baringo,Pneumonia,Sheep,Clinical,Extensive,2024-07-24,2024-07-24,58,0,12
Baringo,Pneumonia,Sheep,Clinical,Mixed,2024-05-24,2024-05-24,1,0,2
Baringo,Poisoning,Cattle,Clinical,Mixed,2024-05-27,2024-05-27,1,0,4
Baringo,Rabies,Cattle,Clinical,Mixed,2024-05-20,2024-05-20,1,8,8
Baringo,Rabies,Dogs,Clinical,,2024-05-01,2024-05-01,2,0,40
Baringo,Sheep Pox,Sheep,Clinical,Extensive,2023-12-11,2023-12-11,31,0,482
Baringo,Sheep Pox,Sheep,Clinical,Extensive,2022-12-16,2022-12-16,19,92,315
Baringo,Sheep Pox,Sheep,Clinical,Extensive,2024-02-16,2024-02-16,83,402,1258
Baringo,blue tongue,Sheep,Clinical,Extensive,2024-05-23,2024-05-23,3,0,120
Bomet,Abscess,Goats,Post Mortem,,2024-08-21,2024-08-21,1,0,0
Bomet,Abscesses,Cattle,Post Mortem,,2024-03-25,2024-03-25,1,0,0
Bomet,Anaplasmosis,Cattle,Clinical,Mixed,2024-01-05,2024-01-02,1,0,3
Bomet,Animal bites,Dogs,Clinical,Mixed,2024-01-15,2024-01-03,0,2,2
Bomet,Animal bites,Dogs,Clinical,Mixed,2024-11-14,2024-11-14,0,0,3
Bomet,Anthrax,Cattle,Clinical,,2024-07-15,2024-07-15,0,0,30
Bomet,Anthrax,Cattle,Clinical,Mixed,2024-12-16,2024-12-16,0,0,5
Bomet,Anthrax,Cattle,Laboratory,Mixed,2024-03-15,2024-03-15,1,0,50
Bomet,Anthrax,Cattle,Laboratory,Mixed,2024-03-21,2024-03-21,1,0,15
Bomet,Anthrax,Cattle,Laboratory,Mixed,2024-05-31,2024-05-31,4,50,20
Bomet,Anthrax,Cattle,Post Mortem,,2024-02-18,2024-02-18,1,0,0
Bomet,Anthrax,Cattle,Post Mortem,Intensive,2024-06-01,2024-06-01,0,0,4
Bomet,Black Quarter,Cattle,Clinical,Mixed,2024-01-02,2024-01-01,2,0,15
Bomet,Black Quarter,Cattle,Post Mortem,Extensive,2024-02-28,2024-02-28,0,0,3
Bomet,Black Quarter,Cattle,Post Mortem,Extensive,2024-03-22,2024-03-22,0,0,14
Bomet,Black Quarter,Cattle,Post Mortem,Intensive,2024-10-10,2024-10-10,0,0,48
Bomet,Brucellosis,Goats,Clinical,Extensive,2024-01-24,2024-01-02,2,0,8
Bomet,Coccidosis,Chicken,Post Mortem,Intensive,2024-01-30,2024-01-01,4,0,90
Bomet,East Coast Fever(ECF),Cattle,Clinical,Extensive,2024-01-10,2024-01-02,1,0,4
Bomet,East Coast Fever(ECF),Cattle,Clinical,Extensive,2024-01-08,2024-01-02,1,0,3
Bomet,East Coast Fever(ECF),Cattle,Clinical,Mixed,2024-01-26,2024-01-01,1,0,34
Bomet,East Coast Fever(ECF),Cattle,Clinical,Mixed,2024-01-09,2024-01-01,1,0,3
Bomet,Fasciola,Cattle,Post Mortem,Extensive,2024-01-26,2024-01-02,0,0,0
Bomet,Fatty Degeneration,Goats,Post Mortem,,2024-08-17,2024-08-17,1,0,0
Bomet,Fibrosis,Goats,Post Mortem,,2024-02-10,2024-02-10,1,0,0
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-02-29,2024-02-29,4,0,1
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-03-19,2024-03-19,5,0,5
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-04-30,2024-04-30,4,0,2
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-05-15,2024-05-15,2,0,11
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-08-11,2024-08-11,1,0,10
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Extensive,2024-09-06,2024-09-06,6,0,30
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Intensive,2024-02-02,2024-02-02,3,0,25
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Intensive,2024-05-14,2024-05-14,2,0,3
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Intensive,2024-06-20,2024-06-20,1,0,6
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Intensive,2024-07-18,2024-07-18,1,0,5
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-11-15,2024-11-15,1,0,30
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-11-03,2024-11-03,6,0,130
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-03-28,2024-03-28,2,0,20
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-04-30,2024-04-30,5,0,5
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-06-05,2024-06-05,4,0,20
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-08-10,2024-08-10,7,0,16
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-09-18,2024-09-18,10,0,70
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-09-19,2024-09-19,5,0,1
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-09-22,2024-09-22,2,0,0
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-09-23,2024-09-23,11,0,3
Bomet,Foot and Mouth Disease (FMD),Cattle,Clinical,Mixed,2024-09-24,2024-09-24,5,0,0
Bomet,Helminthiasis,Cattle,Clinical,Intensive,2024-01-11,2024-01-02,1,0,0
Bomet,Helminthiasis,Cattle,Clinical,Mixed,2024-01-03,2024-01-02,4,0,5
Bomet,Helminthiasis,Cattle,Clinical,Mixed,2024-01-31,2024-01-03,1,0,1
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-01-06,2024-01-03,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-02-14,2024-02-14,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-02-16,2024-02-16,2,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-03-01,2024-03-01,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-03-13,2024-03-13,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-03-04,2024-03-04,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-03-05,2024-03-05,2,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-03-06,2024-03-06,2,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-03-09,2024-03-09,2,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-04-11,2024-04-11,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-04-26,2024-04-26,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-07-15,2024-07-15,2,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-07-22,2024-07-22,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-07-29,2024-07-29,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-07-03,2024-07-03,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-07-30,2024-07-30,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-07-08,2024-07-08,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-08-01,2024-08-01,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-08-17,2024-08-17,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-08-18,2024-08-18,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,,2024-08-08,2024-08-08,1,0,0
Bomet,Helminthiasis,Cattle,Post Mortem,Extensive,2024-01-30,2024-01-01,0,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-01-01,2024-01-02,1,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-02-28,2024-02-28,1,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-02-03,2024-02-03,2,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-03-27,2024-03-27,2,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-04-11,2024-04-11,1,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-04-13,2024-04-13,2,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-04-05,2024-04-05,1,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-07-19,2024-07-19,2,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-07-31,2024-07-31,2,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-08-21,2024-08-21,2,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-08-22,2024-08-22,3,0,0
Bomet,Helminthiasis,Goats,Post Mortem,,2024-08-06,2024-08-06,1,0,0
Bomet,Helminthiasis,Goats,Post Mortem,Mixed,2024-03-22,2024-03-22,0,0,20
Bomet,Helminthiasis,Sheep,Post Mortem,,2024-02-17,2024-02-17,1,0,0
Bomet,Hydited Cyst,Cattle,Post Mortem,Extensive,2024-01-20,2024-01-03,0,0,0
Bomet,Liver Cyrrhosis,Cattle,Post Mortem,,2024-01-20,2024-01-03,1,0,0
Bomet,Liver cyrrhosis,Cattle,Post Mortem,,2024-02-10,2024-02-10,1,0,0
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Extensive,2024-01-20,2024-01-02,1,0,15
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Extensive,2024-08-05,2024-08-05,0,0,7
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-01-08,2024-01-01,1,0,1
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-05-30,2024-05-30,1,0,3
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-06-25,2024-06-25,1,0,21
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-07-02,2024-07-02,1,0,15
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-08-16,2024-08-16,3,0,11
Bomet,Lumpy Skin Disease (LSD),Cattle,Clinical,Intensive,2024-08-05,2024-08-05,3,0,30
Bomet,Mange,Cattle,Clinical,Intensive,2024-01-26,2024-01-03,1,0,1
Bomet,Mange,Cattle,Post Mortem,,2024-02-12,2024-02-12,1,0,0
Bomet,Mange,Cattle,Post Mortem,,2024-02-17,2024-02-17,1,0,0
Bomet,Mange,Cattle,Post Mortem,,2024-02-08,2024-02-08,1,0,0
Bomet,Mastitis,Goats,Clinical,Extensive,2024-01-10,2024-01-02,1,0,12
Bomet,Peste des Petit Ruminants (PPR),Goats,Clinical,Extensive,2024-01-15,2024-01-02,7,0,40
Bomet,Pneumonia,Cattle,Clinical,Mixed,2024-01-19,2024-01-02,1,0,3
Bomet,Pneumonia,Cattle,Clinical,Mixed,2024-01-24,2024-01-03,1,0,1
Bomet,Pneumonia,Cattle,Post Mortem,,2024-02-14,2024-02-14,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-02-22,2024-02-22,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-02-03,2024-02-03,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-02-05,2024-02-05,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-02-09,2024-02-09,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-03-09,2024-03-09,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-04-18,2024-04-18,1,0,0
Bomet,Pneumonia,Cattle,Post Mortem,,2024-08-19,2024-08-19,1,0,0
Bomet,Pneumonia,Goats,Clinical,Intensive,2024-01-09,2024-01-02,1,0,3
Bomet,Pneumonia,Goats,Post Mortem,,2024-02-16,2024-02-16,1,0,0
Bomet,Pneumonia,Goats,Post Mortem,,2024-08-19,2024-08-19,1,0,0
Bomet,Poisoning,Camel,Clinical,Extensive,2024-01-19,2024-01-02,40,0,200
Bomet,Poisoning,Cattle,Clinical,Mixed,2024-01-03,2024-01-01,1,0,1
Bomet,Rabies,Cattle,Clinical,Extensive,2024-11-24,2024-11-24,1,0,25
Bomet,Rabies,Cattle,Clinical,Extensive,2024-06-20,2024-06-20,1,8,50
Bomet,Rabies,Cattle,Clinical,Intensive,2024-11-29,2024-11-29,1,0,1
Bomet,Rabies,Cattle,Clinical,Intensive,2024-04-25,2024-04-25,1,3,3
Bomet,Rabies,Dogs,Clinical,,2024-03-24,2024-03-24,1,0,16
Bomet,Rabies,Dogs,Clinical,Extensive,2024-01-26,2024-01-01,1,0,3
Bomet,Rabies,Dogs,Clinical,Mixed,2024-08-26,2024-08-26,2,2,2
Bomet,Streptothricosis,Cattle,Post Mortem,,2024-02-07,2024-02-07,1,0,0
Bomet,Telangiectasis,Cattle,Post Mortem,,2024-02-09,2024-02-09,1,0,0
Bomet,Trypanosomiasis,Camel,Clinical,Extensive,2024-01-15,2024-01-02,0,0,32
Bomet,ephemeral fever,Cattle,Clinical,Mixed,2024-01-01,2024-01-01,1,0,43
Bungoma,Acute Camel Disease Syndromes (ACDS),Camel,Clinical,Extensive,2024-01-29,2024-01-03,4,0,52
Bungoma,Anaplasmosis,Cattle,Clinical,Extensive,2024-01-04,2024-01-04,1,0,6
Bungoma,Anaplasmosis,Cattle,Clinical,Extensive,2024-02-12,2024-02-12,1,0,3
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-01-06,2024-01-05,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-11-23,2024-11-23,1,0,7
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-11-27,2024-11-27,1,0,5
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-11,2024-03-11,2,0,5
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-19,2024-03-19,1,0,2
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-21,2024-03-21,1,0,3
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-23,2024-03-23,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-24,2024-03-24,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-27,2024-03-27,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-28,2024-03-28,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-29,2024-03-29,1,0,2
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-30,2024-03-30,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-03-08,2024-03-08,4,0,5
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-04-17,2024-04-17,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-04-21,2024-04-21,2,0,3
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-04-24,2024-04-24,1,0,1
Bungoma,Anaplasmosis,Cattle,Clinical,Mixed,2024-04-25,2024-04-25,1,0,1
Bungoma,Animal bites,Goats,Clinical,Extensive,2024-01-23,2024-01-02,23,0,95
Bungoma,Animal bites,Goats,Clinical,Extensive,2024-01-31,2024-01-02,13,0,21
Bungoma,Anthrax,Cattle,Clinical,Mixed,2024-03-12,2024-03-12,1,0,2
Bungoma,Black Quarter,Cattle,Clinical,Extensive,2024-11-20,2024-11-20,1,1,1
Bungoma,Black Quarter,Cattle,Clinical,Extensive,2024-12-27,2024-12-27,1,0,4
Bungoma,Black Quarter,Cattle,Clinical,Extensive,2024-12-28,2024-12-28,1,0,7
Bungoma,Black Quarter,Cattle,Clinical,Extensive,2024-12-29,2024-12-29,1,0,3
Bungoma,Brucellosis,Cattle,Clinical,Mixed,2024-01-23,2024-01-04,1,0,2
Bungoma,Brucellosis,Cattle,Clinical,Mixed,2024-03-18,2024-03-18,1,0,3
Bungoma,Brucellosis,Cattle,Clinical,Mixed,2024-03-24,2024-03-24,1,0,1
Bungoma,Brucellosis,Goats,Clinical,Extensive,2024-01-25,2024-01-01,1,0,44
Bungoma,Brucellosis,Goats,Clinical,Extensive,2024-01-31,2024-01-03,3,0,21
Bungoma,Brucellosis,Sheep,Clinical,Mixed,2024-03-10,2024-03-10,1,0,4
Bungoma,Brucellosis,Sheep,Clinical,Mixed,2024-04-26,2024-04-26,1,0,3
Bungoma,Coccidosis,Cattle,Clinical,Mixed,2024-03-12,2024-03-12,1,0,2
